"x","y","h15ptot"
530950,153050,53
531750,163550,25
532350,167750,3
532450,153550,3
532750,151550,3
531850,163550,9
531950,159050,5
532450,153750,3
532550,152150,6
532550,152550,3
531050,152650,9
532750,151850,5
532850,152850,3
529750,162050,8
529950,159550,3
530050,164850,15
524850,151250,4
525250,149050,3
525950,156850,5
526050,153250,3
526050,171850,7
526050,163450,15
526350,150750,13
526450,166050,9
526450,151850,4
526550,153350,6
526750,151950,3
526850,153150,3
528950,160950,3
528950,162350,3
528950,152650,7
528950,167650,21
527850,152350,90
529050,167850,20
527150,161350,5
528050,151750,12
528650,168250,16
528650,163350,23
528650,159550,50
527350,152450,4
527350,151950,15
528150,153750,10
529050,168450,3
527450,151750,32
528150,162450,3
528750,152250,26
528750,168150,12
527450,155550,6
528750,157850,16
529650,171750,14
528350,163250,26
528850,157750,11
529350,167850,3
527750,151850,4
528450,159650,11
527850,152450,56
528950,162250,5
524550,148350,7
524550,158650,14
525050,149250,4
525150,150050,3
525550,153450,9
525750,156550,16
526150,162950,3
536450,153950,46
536550,154750,81
536650,153350,42
536650,152950,129
536450,165250,3
536650,151850,15
536850,152950,55
537950,156450,11
536950,153450,106
536950,151850,204
537250,151950,31
537250,153550,78
537350,153550,32
537750,151550,101
537750,162850,3
537750,151250,55
538050,153150,97
537750,153350,87
538050,152750,79
537450,160050,4
537450,152050,83
538150,154550,137
537050,151750,27
537450,151250,40
538050,160350,5
537550,152450,3
537550,151650,86
537550,154650,54
537550,160050,3
537550,160350,3
537150,152550,91
537150,151850,88
537250,154050,29
536250,152950,86
533350,170650,11
533550,151850,6
533550,152250,6
533750,156750,8
533850,155150,67
533950,165750,4
533950,164150,3
533950,153250,3
533450,170950,3
533750,155250,5
533950,157950,3
534050,163850,5
534150,156750,11
534150,156950,20
534150,166150,3
534150,166250,8
535750,165150,4
535750,157450,116
534250,153550,21
534850,153550,26
535350,152950,5
535350,157250,13
535350,154350,63
536050,157250,29
535350,153650,68
536150,169950,3
536150,157450,3
535450,157250,12
535850,155750,4
535950,155350,3
534450,153750,56
536050,153250,22
534450,153250,3
534450,161750,10
535050,152750,3
535050,157450,3
536150,152450,46
535150,155150,3
535650,154650,32
536050,168050,3
536150,157150,9
535250,156750,3
533250,170850,18
533450,154250,3
533850,153250,64
533550,154250,8
533550,154450,38
